"Number","Position","Team","Age","Foot","Experience","Experience_VFF","Video","Decision","RT","Trial_Number","participant","highest_prio","highest_prio_named","answer","accuracy"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_35\Klip_35_1","highest free man",5.77482319995761,29,6,1,"Highest free man",1,"Best"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_15\Klip_15_1","pass it over",21.0330713000149,30,6,1,"Highest free man",4,"Good"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_55\Klip_55_2","pass it over",33.7727365000173,31,6,2,"Link out",4,"Good"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_77\Klip_77_2","link out2",11.1337346000364,32,6,2,"Link out",2,"Best"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_84\Klip_84_4","false switch play",15.1097890000092,33,6,4,"Pass it over the opponent",7,"Bad"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_13\Klip_13_1","highest free man",8.01218220009468,34,6,1,"Highest free man",1,"Best"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_38\Klip_38_1","highest free man",4.43897940008901,35,6,1,"Highest free man",1,"Best"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_5\Klip_5_1","switch play",26.3591353000375,36,6,1,"Highest free man",3,"Good"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_27\Klip_27_1","highest free man2",15.199765300029,37,6,1,"Highest free man",1,"Best"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_81\Klip_81_4","pass it over",27.3777790999738,38,6,4,"Pass it over the opponent",4,"Best"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_33\Klip_33_1","highest free man",13.9239958000835,39,6,1,"Highest free man",1,"Best"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_43\Klip_43_2","switch play",15.1861784999492,40,6,2,"Link out",3,"Good"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_60\Klip_60_3","switch play",16.9227139999857,41,6,3,"Switch play to open lines",3,"Best"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_39\Klip_39_3","switch play",14.8552912999876,42,6,3,"Switch play to open lines",3,"Best"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_73\Klip_73_2","switch play",6.3240330000408,43,6,2,"Link out",3,"Good"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_90\Klip_90_4","pass it over",25.1973903999897,44,6,4,"Pass it over the opponent",4,"Best"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_36\Klip_36_1","switch play",7.54448350006714,45,6,1,"Highest free man",3,"Good"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_82\Klip_82_4","false link out",8.44478200003505,46,6,4,"Pass it over the opponent",6,"Bad"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_85\Klip_85_4","pass it over",5.04524579993449,47,6,4,"Pass it over the opponent",4,"Best"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_92\Klip_92_3","false link out",15.0744320000522,48,6,3,"Switch play to open lines",6,"Bad"
25,"Fosvarsspiller","U17",14,"Højre",9,4,"Klip_91\Klip_91_3","false link out",17.4166370999301,49,6,3,"Switch play to open lines",6,"Bad"
